Date,Open,High,Low,Close,Volume,Market_close
31-03-2017,882.5,889.65,867.15,873.05,170326,29620.5
30-03-2017,874,876.5,864.6,871.45,44044,29647.42
29-03-2017,870.95,876.05,859.75,874.05,118016,29531.43
28-03-2017,856,870,853.55,860.05,56015,29409.52
27-03-2017,871.2,873,851.6,855.7,38628,29237.15
24-03-2017,875,876,869.35,871.4,192969,29421.4
23-03-2017,875,880,869.8,876.05,7561091,29332.16
22-03-2017,855,873.9,849.5,872.35,83590,29167.68
21-03-2017,868,874.6,853,857.2,178892,29485.45
20-03-2017,870,879.15,860.3,863.3,103080,29648.99
17-03-2017,853,870.9,853,865.3,612763,29585.85
16-03-2017,857,864,850.05,855.35,301584,29398.11
15-03-2017,850.5,854.45,837.15,839.9,280360,29442.63
14-03-2017,860,862,850,852.85,43529,28946.23
10/3/2017,847,857.5,841.95,844.85,40974,28929.13
9/3/2017,846.7,850.8,842.75,845.1,56012,28901.94
8/3/2017,857.25,857.55,844.2,846.85,31877,28999.56
7/3/2017,859,859.55,852.4,855.8,28914,29048.19
6/3/2017,851.9,867,845.5,855.9,87575,28832.45
3/3/2017,842,855,836.45,852.65,150877,28839.79
2/3/2017,845,853,838.7,842.45,35714,28984.49
1/3/2017,841.6,850.5,840.15,849.65,72172,28743.32
28-02-2017,840,846.05,836.35,840.1,115922,28812.88
27-02-2017,843.6,851.85,836.5,840.5,50993,28892.97
23-02-2017,834.5,851,834.5,842.6,56942,28864.71
22-02-2017,852.3,864.95,832.45,836.8,98517,28761.59
21-02-2017,845,861.7,844.5,852.3,196457,28661.58
20-02-2017,842,846.25,838,841.65,28640,28468.75
17-02-2017,846,848.75,831.6,838.6,48939,28301.27
16-02-2017,829,845,829,843.4,63694,28155.56
15-02-2017,831.5,838,822.5,829.3,43910,28339.31
14-02-2017,824.65,834.8,823.15,830.3,28190,28351.62
13-02-2017,832,832.9,821.4,826.95,827,28334.25
10/2/2017,820,829.9,813.6,828.1,76821,28329.7
