,Mar '17,Mar '16,Jun '15,Jun '14,Jun '13,,,,,
,,,,,,,,,,
,12 mths,9 mths,12 mths,12 mths,12 mths,,,,,
,,,,,,,,,,
Income,,,,,,,,,,
Sales Turnover,"19,318.31","13,434.64","17,153.44","16,497.37","12,517.82",,,,,
Net Sales,"19,318.31","13,434.64","17,153.44","16,497.37","12,517.82",,,,,
Other Income,949.89,977.39,"1,199.50",659.12,472.38,,,,,
Stock Adjustments,-38.63,46.79,66.23,-64.75,-7.83,,,,,
Total Income,"20,229.57","14,458.82","18,419.17","17,091.74","12,982.37",,,,,
Expenditure,,,,,,,,,,
Raw Materials,123.31,162.66,363.76,345.37,251.66,,,,,
Power & Fuel Cost,233.54,167.23,218.96,205.15,201.3,,,,,
Employee Cost,"6,843.38","4,866.92","5,924.62","5,123.95","4,628.61",,,,,
Selling and Admin Expenses,9.63,1.47,0,0,0,,,,,
Miscellaneous Expenses,"4,214.16","3,147.31","3,852.73","3,447.26","2,837.69",,,,,
Total Expenses,"11,424.02","8,345.59","10,360.07","9,121.73","7,919.26",,,,,
,Mar '17,Mar '16,Jun '15,Jun '14,Jun '13,,,,,
,,,,,,,,,,
,12 mths,9 mths,12 mths,12 mths,12 mths,,,,,
,,,,,,,,,,
Operating Profit,"7,855.66","5,135.84","6,859.60","7,310.89","4,590.73",,,,,
PBDIT,"8,805.55","6,113.23","8,059.10","7,970.01","5,063.11",,,,,
Interest,56.03,45.82,60.64,81.65,76.46,,,,,
PBDT,"8,749.52","6,067.41","7,998.46","7,888.36","4,986.65",,,,,
Depreciation,478.89,276.89,299.92,490.7,441.91,,,,,
Profit Before Tax,"8,270.63","5,790.52","7,698.54","7,397.66","4,544.74",,,,,
PBT (Post Extra-ord Items),"8,270.63","5,790.52","7,698.54","7,397.66","4,544.74",,,,,
Tax,"1,403.38","1,062.47","1,352.59","1,413.04",840.02,,,,,
Reported Net Profit,"6,872.69","4,719.08","6,345.95","5,984.62","3,704.72",,,,,
Total Value Addition,"11,300.71","8,182.93","9,996.31","8,776.36","7,667.60",,,,,
Equity Dividend,"4,068.73","2,697.59","2,385.59",700.27,835.36,,,,,
Corporate Dividend Tax,0,0,439.27,113.39,139.82,,,,,
Per share data (annualised),,,,,,,,,,
Shares in issue (lakhs),"14,267.83","14,103.81","14,059.78","6,999.76","6,968.70",,,,,
Earning Per Share (Rs),48.17,33.46,45.14,85.5,53.16,,,,,
Equity Dividend (%),600,800,"1,500.00",500,600,,,,,
Book Value (Rs),182.04,152.42,138.02,224.94,146.84,,,,,
,,,,,,,,,,
,,,,,,,,,,
